Year,Total,CowMilk,BuffaloMilk,GoatMilk
2000-01,79651,32957,43428,3266
2001-02,83419,34516,45402,3501
2002-03,84760,34612,46512,3636
2003-04,86660,34973,47979,3708
2004-05,91059,37344,50178,3537
2005-06,95619,39759,52070,3790
2006-07,99348,41148,54382,3818
2007-08,107933,46822,56630,4481
2008-09,112183,49810,57895,4478
2009-10,116425,52200,59758,4467
2010-11,121847,54903,62350,4594
2011-12,127904,57770,65352,4782
2013-14,137686,62195,70443,5048
2014-15,146314,66423,74710,5180
2015-16,155482,73646,76459,5378
